model,rads,brand
A1228di ,0.823,Sony Ericsson
Aino ,0.88,Sony Ericsson
C902 ,1.32,Sony Ericsson
Cyber-shot C905 ,1.12,Sony Ericsson
Equinox TM717 ,0.9,Sony Ericsson
J300a ,1.12,Sony Ericsson
K700i ,1.03,Sony Ericsson
K750i ,0.66,Sony Ericsson
K790a ,0.58,Sony Ericsson
K800i ,0.58,Sony Ericsson
K850i ,1.14,Sony Ericsson
M600i ,1.15,Sony Ericsson
Naite ,1.32,Sony Ericsson
P1i ,0.98,Sony Ericsson
P800 ,0.64,Sony Ericsson
P900 ,1.36,Sony Ericsson
P910 ,1.5,Sony Ericsson
P990i ,0.78,Sony Ericsson
S500i ,0.77,Sony Ericsson
S710a ,0.88,Sony Ericsson
Satio (Idou) ,1.56,Sony Ericsson
T200 ,0.37,Sony Ericsson
T206 ,1.28,Sony Ericsson
T226 ,1.18,Sony Ericsson
T237 ,1.18,Sony Ericsson
T300 ,0.43,Sony Ericsson
T306 ,0.75,Sony Ericsson
T310 ,0.57,Sony Ericsson
T316 ,0.75,Sony Ericsson
T608 ,1.46,Sony Ericsson
T610 ,1.21,Sony Ericsson
T616 ,1.16,Sony Ericsson
T61c ,1.01,Sony Ericsson
T61d ,0.76,Sony Ericsson
T61LX ,0.76,Sony Ericsson
T61z ,0.92,Sony Ericsson
T62u ,0.49,Sony Ericsson
T637 ,1.41,Sony Ericsson
T68 ,0.74,Sony Ericsson
T68i ,0.58,Sony Ericsson
TM506 ,1.43,Sony Ericsson
W200a ,0.87,Sony Ericsson
W300i ,1.42,Sony Ericsson
W350a ,1.48,Sony Ericsson
W380a ,0.69,Sony Ericsson
W380a ,0.69,Sony Ericsson
W518a Walkman ,0.73,Sony Ericsson
W580i ,1.26,Sony Ericsson
W600i ,1.26,Sony Ericsson
W6710i ,1.35,Sony Ericsson
W760i ,0.81,Sony Ericsson
W800i ,0.57,Sony Ericsson
W810i ,1.04,Sony Ericsson
W850i ,0.6,Sony Ericsson
W880i ,1.47,Sony Ericsson
W995a ,1.09,Sony Ericsson
Xperia X1 ,0.92,Sony Ericsson
Xperia X10 ,1.43,Sony Ericsson
Z310a ,1.13,Sony Ericsson
Z500a ,1.45,Sony Ericsson
Z520a ,1.47,Sony Ericsson
Z525a ,1.47,Sony Ericsson
Z555 ,0.67,Sony Ericsson
Z600 ,0.31,Sony Ericsson
Z710i ,1.36,Sony Ericsson
Z750a ,1.42,Sony Ericsson
Acer Liquid ,0.645,Other
Apple iPhone (4GB) ,0.974,Other
Apple iPhone (8GB) ,0.974,Other
Apple iPhone 3G (16GB) ,1.38,Other
Apple iPhone 3G (8GB) ,1.38,Other
Apple iPhone 3G S (16GB) ,0.79,Other
Apple iPhone 3G S (32GB) ,0.79,Other
Apple iPhone 4 (16GB) ,1.17,Other
Apple iPhone 4 (32GB) ,1.17,Other
Asus P527 ,0.84,Other
Beyond E-Tech Duet D8 ,0.109,Other
Beyond E-Tech Duet D888 ,0.32,Other
Beyond E-Tech Duet W002 ,0.289,Other
Casio Exilim C721 ,0.524,Other
Casio G'zOne Brigade ,0.813,Other
Casio G'zOne Rock ,1.18,Other
Cricket Captr ,0.739,Other
Cricket MSGM8 (Cal-Comp) ,1.27,Other
Curitel Identity ,1.32,Other
Doro PhoneEasy 345 ,0.62,Other
Doro PhoneEasy 410 ,0.445,Other
Firefly flyPhone ,1.26,Other
Garmin Nuvifone G60 ,0.949,Other
Garminfone (T-Mobile) ,0.714,Other
Google Ion (HTC Magic) ,1.22,Other
Google Nexus One (HTC) ,0.867,Other
Helio Kickflip (VK Mobile) ,0.86,Other
HP iPaq Glisten ,1.25,Other
HTC Advantage ,0.836,Other
HTC Aria (AT&T) ,0.95,Other
HTC Cavalier S630 ,1.3,Other
HTC Dream T-Mobile G1 ,1.11,Other
HTC Droid Eris ,1.19,Other
HTC Droid Incredible ,1.4,Other
HTC Evo 4G ,1.03,Other
HTC Fuze ,1.13,Other
HTC HD2 (T-Mobile) ,1.09,Other
HTC Hero (Sprint) ,1.13,Other
HTC Imagio (Verizon Wireless) ,0.498,Other
HTC Mogul ,1.13,Other
HTC Ozone ,1.03,Other
HTC Pure (AT&T) ,1.27,Other
HTC SMT5800 ,1.49,Other
HTC Snap ,1.32,Other
HTC Snap (Alltel) ,1.03,Other
HTC Tilt 2 ,1.16,Other
HTC Touch ,1.25,Other
HTC Touch 2 ,0.826,Other
HTC Touch Cruise ,1.19,Other
HTC Touch Diamond (Sprint) ,0.85,Other
HTC Touch Diamond (Verizon Wireless) ,0.853,Other
HTC Touch Dual ,1.42,Other
HTC Touch HD ,0.72,Other
HTC Touch Pro (Sprint) ,1.43,Other
HTC Touch Pro (Verizon Wireles/smartphones/htc-touch-pro-verizon/4505-6452_7-33408745.html ,1.43,Other
HTC Touch Pro 2 (Sprint) ,1.41,Other
HTC Touch Pro 2 (T-Mobile) ,1.2,Other
HTC Touch Pro 2 (Verizon Wireless) ,1.41,Other
HTC Vox S710 ,0.8,Other
Huawei M328 (MetroPCS) ,1.38,Other
Huawei M750 ,1.14,Other
Kin One ,1.38,Other
Kin Two ,0.29,Other
NEC 232E HDM ,0.33,Other
NEC 515 HDM ,1.2,Other
NEC 525 ,1.2,Other
NEC 535 ,0.56,Other
NEC L1 ,1.04,Other
Pharos Traveler GPS 127 ,0.63,Other
Pharos Traveler GPS 137 ,0.758,Other
Sharp TM150 ,0.82,Other
Sharp Z-800 ,1.18,Other
Sonim XP1 ,0.6,Other
Sonim XP3 Quest ,0.77,Other
T-Mobile Dash 3G ,1.47,Other
T-Mobile MyTouch 3G ,1.37,Other
T-Mobile MyTouch 3G Slide ,1.15,Other
T-Mobile Shadow (HTC) ,1.53,Other
T-Mobile Shadow (HTC) 2009 ,1.38,Other
T-Mobile Sidekick 3 ,0.5,Other
T-Mobile Sidekick iD ,0.63,Other
T-Mobile Sidekick II ,0.54,Other
T-Mobile Sidekick LX (Sharp) ,0.89,Other
T-Mobile Sidekick LX 2009 (Sharp) ,0.847,Other
T-Mobile Sidekick Slide ,0.67,Other
T-Mobile Tap (Huawei) ,1.09,Other
T-Mobile Wing ,0.717,Other
Velocity 103 ,0.98,Other
Verizon Wireless XV6900 ,1.25,Other
VK2020 ,0.91,Other
Wherify Wherifone G560 ,0.94,Other
ZTE C78 ,0.994,Other
ZTE C79 ,0.869,Other
ZTE C88 ,1.17,Other
